Fetching and processing data...

📋 Data Preview (Completed Jobs with non-empty time):
   BOL_Number     Status    job_date time_complete         Actual_Date  Delay_Days
21          3  Completed  02/12/2026      11:35:00 2026-02-12 11:35:00         0.0
22          2  Completed  02/12/2026      10:15:00 2026-02-12 10:15:00         0.0
23          1  Completed  02/12/2026      09:20:00 2026-02-12 09:20:00         0.0
24          7  Completed  02/11/2026      07:35:00 2026-02-11 07:35:00         0.0
25          4  Completed  02/11/2026      15:20:00 2026-02-11 15:20:00         0.0
26          8  Completed  02/11/2026      16:25:00 2026-02-11 16:25:00         0.0
27          4  Completed  02/11/2026      13:30:00 2026-02-11 13:30:00         0.0
28          6  Completed  02/11/2026      14:35:00 2026-02-11 14:35:00         0.0
29          1  Completed  02/11/2026      07:30:00 2026-02-11 07:30:00         0.0
30        1.5  Completed  02/11/2026      09:30:00 2026-02-11 09:30:00         0.0
